ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO;;
2002;Charles Renato Silva Junior;CBS Tap Factory;São José dos Campos;SP;Melhor Bailarino;;34
2002;Medley;Spoudaios Cia de Dança;Rio de Janeiro;RJ;Melhor Coreografia;;57
2002;;Especial Academia de Ballet;São Paulo;SP;Melhor Grupo;;61
2002;Flávio Everton;Júnior do Pavilhão;São Paulo;SP;Troféu Revelação;;137
2002;;Grupo Júnior do Pavilhão;São Paulo;SP;Troféu Transitório;;133
2003;Flávia Garcia do Nascimento;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina;;21
2003;Hélio da Silva;Grupo Beth Dorça;Uberaba;MG;Melhor Bailarino;;35
2003;;Grupo CBS Tap Factory;São José dos Campos;´SP;Melhor Grupo;;62
2003;Arthur Julien K. Louarti;Escola de Dança Clássica Teatro Guaira;Curitiba;PR;Troféu Revelação;;85
2003;;Ballet Aracy de Almeida;São Paulo;SP;Troféu Transitório;;134
2004;Ricardo Scheir;Cia Pavilhão D;São Paulo;SP;Coreógrafo Revelação;;3
2004;Ariadne Okuyama B. Ferreira;Escola de Ballet Inês Amaral;São Paulo;SP;Melhor Bailarina;;22
2004;Gênya Kolesnyk;Grupo Rama;Pirassununga;SP;Melhor Bailarino;;36
2004;Ricardo Scheir;Cia Pavilhão D;São Paulo;SP;Melhor Coreografia;;58
2004;;Ballet Elizabeth Vinader;Paraguai;;Melhor Grupo;;63
2004;;Ballet Aracy de Almeida;São Paulo;SP;Troféu Transitório;;135
2005;Cristina Cará;Cia Cristina Cará;São José dos Campos;SP;Coreógrafo Revelação;;4
2005;Paula Penacchio;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina;;23
2005;Cicero Gomes Ribeiro;Escola Estadual Dança Maria Olenewa;Rio de Janeiro;RJ;Melhor Bailarino;;37
2005;;Núcleo Artístico;Belo Horizonte;MG;Melhor Grupo;;64
2005;Leticia de Andrade Stock;Escola Estadual Dança Maria Olenewa;Rio de Janeiro;RJ;Troféu Revelação;;86
2006;Edy Wilson;Kadwah Grupo de Dança;São Paulo;SP;Coreógrafo Revelação;;5
