ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO;;
1998;Eddy Tovar Hernandes;Grupo Dançarte;Goiania;GO;Bailarino Revelação;;1
1999;Andréa Maciel de Faria;Ballet Cristina Helena;;;Bolsas de Estudo;x;
1999;Ricardo Almeida;Escola Danças Clássicas Teatro Guaira;;;Bolsas de Estudo;x;
1999;Fernanda Manuel;Fernanda Manuel;;;Bolsas de Estudo;x;
1999;Adriana Martins dos Reis;Grupo Cidade de Joinville;Joinville;SC;Bolsas de Estudo;x;
1999;Denise Raquel Siqueira;Grupo Passo a Passo;;;Bolsas de Estudo;x;
1998;Sheila Âreas Coelho Reis;Grupo Ame;Três Rios;RJ;Coreógrafo Revelação;;2
2004;Ricardo Scheir;Cia Pavilhão D;São Paulo;SP;Coreógrafo Revelação;;3
2005;Cristina Cará;Cia Cristina Cará;São José dos Campos;SP;Coreógrafo Revelação;;4
2006;Edy Wilson;Kadwah Grupo de Dança;São Paulo;SP;Coreógrafo Revelação;;5
2007;Eduardo Fonseca Menezes;Grupo Art & Dança;Canoas;RS;Coreógrafo Revelação;;6
2008;Airton Rodrigues;Soma 3;Curitiba;PR;Coreógrafo Revelação;;7
2009;Jhean Alex Filó;Ballet Aracy de Almeida;São Paulo;SP;Coreógrafo Revelação;;8
2010;Henry Camargo;Cia de Dança Kahal;Jundiai;SP;Coreógrafo Revelação;;9
2011;Edson Santos;Companhia Independente de São Paulo;São Paulo;SP;Coreógrafo Revelação;;10
1993;Fernanda Diniz;;;;Excelência Técnica;;11
1994;Liris da Costa;;;;Excelência Técnica;;12
1994;Douglas Gawriljuk;;;;Excelência Técnica;;13
1995;;Cooperativa da Dança ;Curitiba;PR;Grupo Melhor Ensaiado;;14
2007;Marcela Paiva Montes;Conservatório Brasileiro de Dança;Rio de Janeiro;RJ;Indicação Lausanne;x;
2008;Luiza Marques;Ballet Aracy de Almeida;São Paulo;SP;Indicação Lausanne;x;
2009;Isabella Bombassei Pires;Conservatório Brasileiro de Dança;Rio de Janeiro;RJ;Indicação Lausanne;x;
2010;Mayara Magri;Cia Petite Danse;Rio de Janeiro;RJ;Indicação Lausanne;x;
2011;Paula Cristina Alves;Especial Academia de Ballet;;;Indicação Lausanne;x;
2011;Daniel Roberto da Silva;Vórtice Escola de Dança;Uberlândia;MG;Indicação Lausanne;x;
2010;Paula Alves;Especial Academia de Ballet;;;Indicação YAGP Nova Iorque;x;
2011;Adhonay Soares da Silva;Ballet Juvenil do Centro Cultural Gustavo Ritter;Goiania;GO;Indicação YAGP Nova Iorque;x;
1999;Patricia Ramires;Cia do Mato;;;Intérprete Dança Moderma Feminina;;15
1999;Marcelo Cavalcanti da Silva;Khala Grupo de Dança;;;Intérprete Dança Moderma Masculina;;16
1999;;Paula Castro Cia de Dança;;;Maior Soma de Pontos Categoria Avançada;;17
1999;Ramona de Sáa;;;;Maitre Preparadora;;18
2001;Luciana Paludo;Grupo Luciana Paludo;Ijui;RS;Melhor Bailarina;;19
2002;Vanessa Pedroso Porcino;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina;;20
