ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO
1999;;Paula Castro Cia de Dança;;;Melhores Escolas Ballet Clássico
1999;;Cia de Dança Street Heartbea;;;Melhores Médias 
1999;;Grupo de Dança Roseli Rodrigues;;;Melhores Médias 
1999;Jaime Dias;Cia Jovem Paula Castro;;;Troféu Revelação
1999;Maria Clara Silva;Cia Jovem Paula Castro;;;Troféu Revelação
1999;;Paula Castro Cia de Dança;;;Troféu Transitório
2000;;Balé da Cidade de Teresina;Teresina;PI;Melhor Grupo
2000;Waldir Alexandre Silva;Escola de Ballet Sesiminas;Belo Horizonte;MG;Melhor Bailarino
2000;Ana Carolina Pagano;Escola de Ballet Sesiminas;Belo Horizonte;MG;Melhor Bailarina
2000;Andreia Dias;VD Mascotte;Rio de Janeiro;RJ;Prêmio Revelação
2000;Quando seus dedos tocam mi nha pele;Ricardo Scheir;;;Melhor Coreografia
2000;Rene Salazar;Especial Academia de Ballet;São Paulo;SP;Menção Honrosa
2000;Nina Isabel Courcier;Talhe Escola de Ballet;Rio de Janeiro;RJ;Menção Honrosa
2001;Luciana Paludo;Grupo Luciana Paludo;Ijui;RS;Melhor Bailarina
2001;Everson Besbati;Fêmina Academia;Joaçaba;SC;Melhor Bailarino
2001;Ivonice Satie;Grupo Beth Dorça;Uberaba;MG;Melhor Coreografia
2001;;Escola de Ballet Sesiminas;Belo Horizonte;MG;Melhor Grupo
2001;Karina Barbi ;Kaiowas;Florianópolis;SC;Menção Honrosa
2001;Welton Lucena Costa;Vórtice Escola de Dança;Uberlândia;MG;Menção Honrosa
2001;Andréia Pivato;Cia Pavilhão D;São Paulo;SP;Revelação
2001;;Escola Municipal de Bailado de Santos;Santos;SP;Troféu Transitório
2002;Vanessa Pedroso Porcino;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina
2002;Charles Renato Silva Junior;CBS Tap Factory;São José dos Campos;SP;Melhor Bailarino
2002;Medley;Spoudaios Cia de Dança;Rio de Janeiro;RJ;Melhor Coreografia
2002;;Especial Academia de Ballet;Rio de Janeiro;;Melhor Grupo
2002;;Grupo Júnior do Pavilhão;São Paulo;SP;Troféu Transitório
2002;Flávio Everton;Júnior do Pavilhão;São Paulo;SP;Prêmio Revelação
2003;Flávia Garcia do Nascimento;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina
2003;Hélio da Silva;Grupo Beth Dorça;Uberaba;MG;Melhor Bailarino
2003;;Grupo CBS Tap Factory;São José dos Campos;SP;Melhor Grupo
2003;Arthur Julien K. Louarti;Escola de Dança Clássica Teatro Guaira;Curitiba;PR;Revelação
2003;;Ballet Aracy de Almeida;São Paulo;SP;Troféu Transitório
2004;Ricardo Scheir;Cia Pavilhão D;São Paulo;SP;Coreógrafo Revelação
2004;Ariadne Okuyama B. Ferreira;Escola de Ballet Inês Amaral;São Paulo;SP;Melhor Bailarina
2004;Gênya Kolesnyk;Grupo Rama;Pirassununga;SP;Melhor Bailarino
2004;;Ballet Elizabeth Vinader;Paraguai;;Melhor Grupo
2004;;Ballet Aracy de Almeida;São Paulo;SP;Troféu Transitório
2005;Cristina Cará;Cia Cristina Cará;São José dos Campos;SP;Coreógrafo Revelação
2005;Paula Penacchio;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina
2005;Cicero Gomes Ribeiro;Escola Estadual Dança Maria Olenewa;Rio de Janeiro;RJ;Melhor Bailarino
2005;;Núcleo Artístico;Belo Horizonte;MG;Melhor Grupo
2005;Leticia de Andrade Stock;Escola Estadual Dança Maria Olenewa;Rio de Janeiro;RJ;Revelação
2006;Edy Wilson;Kadwah Grupo de Dança;São Paulo;SP;Coreógrafo Revelação
2006;Amanda Oliveira de Souza Rosa;Especial Academia de Ballet;São Paulo;SP;Melhor Bailarina
